word	nodeType	synsetCount	unit	count
dartboard	NOUN	1	shining-dialogue	2
daughter	NOUN	1	shining-dialogue	4
day	NOUN	10	shining-dialogue	12
deal	NOUN	22	shining-dialogue	2
death	NOUN	8	shining-dialogue	2
decorator	NOUN	2	shining-dialogue	2
depreciation	NOUN	3	shining-dialogue	2
design	NOUN	14	shining-dialogue	2
desk	NOUN	1	shining-dialogue	30
dial	NOUN	6	shining-dialogue	4
dialogue	NOUN	4	shining-dialogue	2
dinner	NOUN	2	shining-dialogue	2
dish	NOUN	8	shining-dialogue	4
dissolve	NOUN	12	shining-dialogue	2
distributor	NOUN	4	shining-dialogue	4
doc	NOUN	2	shining-dialogue	2
doctor	NOUN	7	shining-dialogue	27
dog	NOUN	8	shining-dialogue	2
door	NOUN	5	shining-dialogue	244
doorway	NOUN	1	shining-dialogue	24
doubt	NOUN	4	shining-dialogue	2
doughnut	NOUN	2	shining-dialogue	2
dozen	NOUN	2	shining-dialogue	4
dream	NOUN	8	shining-dialogue	6
dress	NOUN	21	shining-dialogue	2
drink	NOUN	10	shining-dialogue	12
driveway	NOUN	1	shining-dialogue	2
drop	NOUN	32	shining-dialogue	2
duty	NOUN	3	shining-dialogue	2
ear	NOUN	5	shining-dialogue	10
edge	NOUN	10	shining-dialogue	2
effect	NOUN	8	shining-dialogue	2
eg	NOUN	0	shining-dialogue	2
egg	NOUN	5	shining-dialogue	2
elbow	NOUN	7	shining-dialogue	2
element	NOUN	7	shining-dialogue	2
emergency	NOUN	3	shining-dialogue	2
employer	NOUN	1	shining-dialogue	2
employment	NOUN	4	shining-dialogue	2
end	NOUN	18	shining-dialogue	22
energy	NOUN	7	shining-dialogue	2
engine	NOUN	4	shining-dialogue	4
enter	NOUN	9	shining-dialogue	2
entrance	NOUN	5	shining-dialogue	22
episode	NOUN	4	shining-dialogue	6
evening	NOUN	6	shining-dialogue	18
expert	NOUN	3	shining-dialogue	2
explanation	NOUN	3	shining-dialogue	4
exposure	NOUN	10	shining-dialogue	2
eye	NOUN	6	shining-dialogue	16
f.g	NOUN	0	shining-dialogue	8
face	NOUN	22	shining-dialogue	26
facedown	NOUN	0	shining-dialogue	2
fact	NOUN	4	shining-dialogue	6
factor	NOUN	10	shining-dialogue	2
family	NOUN	8	shining-dialogue	10
favor	NOUN	9	shining-dialogue	2
fever	NOUN	2	shining-dialogue	2
filing	NOUN	9	shining-dialogue	2
filling	NOUN	15	shining-dialogue	2
film	NOUN	7	shining-dialogue	2
fine	NOUN	10	shining-dialogue	2
finger	NOUN	7	shining-dialogue	8
fire	NOUN	18	shining-dialogue	4
fireplace	NOUN	1	shining-dialogue	2
fish	NOUN	6	shining-dialogue	4
flick	NOUN	12	shining-dialogue	2
flight	NOUN	12	shining-dialogue	6
floor	NOUN	12	shining-dialogue	58
folk	NOUN	4	shining-dialogue	14
food	NOUN	3	shining-dialogue	30
foot	NOUN	14	shining-dialogue	44
foothold	NOUN	3	shining-dialogue	2
footprint	NOUN	3	shining-dialogue	16
force	NOUN	19	shining-dialogue	2
forecast	NOUN	4	shining-dialogue	6
forecaster	NOUN	1	shining-dialogue	2
forefinger	NOUN	1	shining-dialogue	16
forehead	NOUN	2	shining-dialogue	2
forward	NOUN	12	shining-dialogue	2
freezer	NOUN	1	shining-dialogue	4
fridge	NOUN	1	shining-dialogue	2
friend	NOUN	5	shining-dialogue	6
front	NOUN	13	shining-dialogue	24
fruit	NOUN	5	shining-dialogue	2
fuck	NOUN	2	shining-dialogue	6
fucker	NOUN	2	shining-dialogue	2
fun	NOUN	4	shining-dialogue	4
furniture	NOUN	1	shining-dialogue	2
future	NOUN	7	shining-dialogue	2
game	NOUN	14	shining-dialogue	2
gap	NOUN	7	shining-dialogue	18
garage	NOUN	3	shining-dialogue	8
gasp	NOUN	2	shining-dialogue	2
gentleman	NOUN	2	shining-dialogue	4
gesture	NOUN	4	shining-dialogue	4
ghost	NOUN	7	shining-dialogue	4
girl	NOUN	5	shining-dialogue	36
glass	NOUN	12	shining-dialogue	38
goddam	NOUN	2	shining-dialogue	2
gold	NOUN	7	shining-dialogue	4
good	NOUN	27	shining-dialogue	4
goose	NOUN	6	shining-dialogue	2
grandmother	NOUN	1	shining-dialogue	2
grocery	NOUN	2	shining-dialogue	2
ground	NOUN	30	shining-dialogue	4
guest	NOUN	4	shining-dialogue	9
gush	NOUN	5	shining-dialogue	6
habit	NOUN	7	shining-dialogue	2
hair	NOUN	6	shining-dialogue	16
half	NOUN	6	shining-dialogue	2
hamburger	NOUN	2	shining-dialogue	2
hand	NOUN	16	shining-dialogue	140
handful	NOUN	2	shining-dialogue	2
handle	NOUN	7	shining-dialogue	14
hang	NOUN	18	shining-dialogue	2
harm	NOUN	4	shining-dialogue	2
head	NOUN	42	shining-dialogue	62
headache	NOUN	2	shining-dialogue	2
headset	NOUN	1	shining-dialogue	4
health	NOUN	2	shining-dialogue	2
heart	NOUN	10	shining-dialogue	2
heat	NOUN	11	shining-dialogue	2
heating	NOUN	6	shining-dialogue	2
heatwave	NOUN	0	shining-dialogue	2
hedge	NOUN	7	shining-dialogue	4
hell	NOUN	6	shining-dialogue	2
heyday	NOUN	1	shining-dialogue	2
highway	NOUN	1	shining-dialogue	2
hip	NOUN	6	shining-dialogue	2
hold	NOUN	45	shining-dialogue	10
holding	NOUN	38	shining-dialogue	2
home	NOUN	17	shining-dialogue	4
honey	NOUN	4	shining-dialogue	2
horror	NOUN	3	shining-dialogue	2
hotel	NOUN	1	shining-dialogue	34
hour	NOUN	4	shining-dialogue	14
house	NOUN	14	shining-dialogue	6
hug	NOUN	3	shining-dialogue	2
humidity	NOUN	1	shining-dialogue	2
hunting	NOUN	10	shining-dialogue	2
husband	NOUN	2	shining-dialogue	12
hypnosis	NOUN	1	shining-dialogue	2
ice	NOUN	11	shining-dialogue	16
icicle	NOUN	1	shining-dialogue	2
idea	NOUN	5	shining-dialogue	18
inaudible	NOUN	1	shining-dialogue	2
inch	NOUN	3	shining-dialogue	2
indistinct	NOUN	1	shining-dialogue	2
individual	NOUN	6	shining-dialogue	2
inhale	NOUN	2	shining-dialogue	2
injury	NOUN	5	shining-dialogue	4
instrument	NOUN	9	shining-dialogue	2
insurance	NOUN	3	shining-dialogue	2
interest	NOUN	10	shining-dialogue	2
interview	NOUN	5	shining-dialogue	2
island	NOUN	2	shining-dialogue	2
isolation	NOUN	5	shining-dialogue	4
it'	NOUN	0	shining-dialogue	2
item	NOUN	6	shining-dialogue	2
jack	NOUN	14	shining-dialogue	4
jacket	NOUN	7	shining-dialogue	18
jet	NOUN	9	shining-dialogue	4
job	NOUN	17	shining-dialogue	14
joint	NOUN	13	shining-dialogue	2
jug	NOUN	4	shining-dialogue	2
key	NOUN	21	shining-dialogue	6
kid	NOUN	7	shining-dialogue	6
kind	NOUN	4	shining-dialogue	16
kitchen	NOUN	1	shining-dialogue	22
knee	NOUN	3	shining-dialogue	8
kneeling	NOUN	2	shining-dialogue	6
knife	NOUN	4	shining-dialogue	40
l	NOUN	5	shining-dialogue	178
l.hand	NOUN	0	shining-dialogue	2
lady	NOUN	3	shining-dialogue	8
lake	NOUN	3	shining-dialogue	2
lamb	NOUN	6	shining-dialogue	2
landing	NOUN	11	shining-dialogue	8
later	NOUN	12	shining-dialogue	3
laugh	NOUN	4	shining-dialogue	4
law	NOUN	7	shining-dialogue	2
lean	NOUN	10	shining-dialogue	2
left	NOUN	24	shining-dialogue	2
leg	NOUN	9	shining-dialogue	14
len	NOUN	0	shining-dialogue	4
lens	NOUN	5	shining-dialogue	2
letter	NOUN	8	shining-dialogue	2
lid	NOUN	3	shining-dialogue	2
life	NOUN	14	shining-dialogue	8
lift	NOUN	36	shining-dialogue	18
light	NOUN	47	shining-dialogue	14
line	NOUN	36	shining-dialogue	18
lipstick	NOUN	3	shining-dialogue	4
living	NOUN	17	shining-dialogue	22
lobby	NOUN	4	shining-dialogue	4
look	NOUN	14	shining-dialogue	4
loser	NOUN	3	shining-dialogue	2
loss	NOUN	8	shining-dialogue	2
lot	NOUN	9	shining-dialogue	20
love	NOUN	10	shining-dialogue	2
luck	NOUN	3	shining-dialogue	2
luggage	NOUN	1	shining-dialogue	6
lunch	NOUN	3	shining-dialogue	2
m.c.s.	NOUN	0	shining-dialogue	4
magazine	NOUN	6	shining-dialogue	2
